"Story","Title","Result","Date","Stability","Duration (s)"
"Create new category","successful category creation","ERROR","2021-02-05T10:24:35.7810475-05:00[America/Bogota]","0.0","0.45"
"Make login in a website","Successful login","SUCCESS","2021-02-05T10:24:36.5350117-05:00[America/Bogota]","0.0","14.38"
